"","mean_x","mean_y","sd_x","sd_y","n_x","n_y","z","p_value"
"characters_per_minute_process",1150.33611304236,771.132791830881,372.854281095682,319.987007405263,108,92,7.74016797616994,9.92855533789951e-15
"words_per_minute_product",482.962962962963,279.173913043478,171.566663751339,85.9881935028435,108,92,10.8478775910375,2.04109843663302e-27
"number_of_pauses",84.7314814814815,69.6086956521739,39.0981526636481,36.409139210646,108,92,2.82961757342987,0.00466036730300092
"proportion_of_pause_time",52.9414482386821,57.736338746355,12.4187641268109,14.2513974102664,108,92,-2.51470864442356,0.0119130788834353
"mean_pause_length",11889.1580863594,16118.3587971283,8178.03800292161,12245.4437727936,108,92,-2.81999164404059,0.00480249000301005
"pause_frequency",3.06330966817419,2.85352112478049,0.880484140183089,1.20974522465541,108,92,1.38073496251755,0.167360467129134
"number_of_deletions",425.305555555555,229.847826086957,327.322169978603,167.282411388817,108,92,5.42895691838254,5.66843637437115e-08
"number_of_insertions",3063.75,1753.42391304348,1086.49459594116,626.475703706034,108,92,10.6294486547566,2.17393841184309e-26
"length_of_deletions",524.398148148148,291.663043478261,461.009597885264,338.716396562855,108,92,4.10465570099462,4.04917480411517e-05
"length_of_insertions",3063.75,1753.42391304348,1086.49459594116,626.475703706034,108,92,10.6294486547566,2.17393841184309e-26
"proportion_of_deletions",1.93604943045759,1.27535105045024,1.10619688271218,0.830455959931733,108,92,4.81523734969789,1.47025030319235e-06
"proportion_of_insertions",20.6745128357995,14.0969641252803,8.79950471654762,7.01459315983199,108,92,5.87893522230436,4.12913906765793e-09
"number_of_p_bursts",84.7314814814815,69.6086956521739,39.0981526636481,36.409139210646,108,92,2.82961757342987,0.00466036730300092
"number_of_r_bursts",413.342592592593,219.576086956522,319.90662078079,162.822915584585,108,92,5.51202819729345,3.54722073005543e-08
"length_of_p_bursts",1341.96296296296,858.880434782609,553.500127496645,374.011601230168,108,92,7.31844573635739,2.50859420797896e-13
"length_of_r_bursts",1636.78703703704,823.728260869565,914.568281288392,567.372604730912,108,92,7.66770150216594,1.7510580476227e-14
"proportion_of_p_bursts",8.80235971166135,6.75388194370772,3.67629623720156,3.68652817851912,108,92,3.92156036186615,8.79774027113168e-05
"proportion_of_r_bursts",11.332785428697,6.81543553842747,7.27765341158634,5.23549896613987,108,92,5.08773391246667,3.62367303829126e-07
"standard_deviation_per_interval",57.5503052939587,49.2406537622011,27.3057321412622,29.1588585445367,108,92,2.06803363639088,0.0386368602577209
