"","mean_x","mean_y","sd_x","sd_y","n_x","n_y","z","p_value"
"characters_per_minute_process",895.058353118503,599.698548852397,289.612227357262,248.705710856051,108,92,7.75932642332615,8.53816337626096e-15
"words_per_minute_product",482.944444444445,279.173913043478,171.603097445703,85.9639086925824,108,92,10.845810452217,2.08777208598584e-27
"number_of_pauses",89.2592592592593,76.0217391304348,40.5350593309075,38.7987136585425,108,92,2.35573647951305,0.0184860264761434
"proportion_of_pause_time",54.6117833684618,60.154159982735,12.1829092267238,13.6674568095208,108,92,-3.00369260726096,0.00266724660758576
"mean_pause_length",11519.4435857073,15215.4276011209,7336.49679802319,11379.9857154736,108,92,-2.67710730771141,0.00742608468536449
"pause_frequency",3.23281361002812,3.12553928148594,0.900628423205148,1.28790567365834,108,92,0.671253788605442,0.502058868024893
"number_of_deletions",331,179.815217391304,254.799242945515,131.815049362407,108,92,5.37892463039596,7.49320679753134e-08
"number_of_insertions",2382.80555555556,1362.83695652174,844.47840959252,485.699614969833,108,92,10.6528226614314,1.69156662880833e-26
"length_of_deletions",391.175925925926,234.04347826087,328.1332595921,316.749386602474,108,92,3.43915943822685,0.000583523459550493
"length_of_insertions",2382.80555555556,1362.83695652174,844.47840959252,485.699614969833,108,92,10.6528226614314,1.69156662880833e-26
"proportion_of_deletions",1.5063170386495,1.00059954316666,0.864286262005591,0.655676634717001,108,92,4.69758835314239,2.63251319695378e-06
"proportion_of_insertions",16.0848057818722,10.9603560167708,6.83544197376084,5.4609218975631,108,92,5.89067255981637,3.84627000713037e-09
"number_of_p_bursts",89.2592592592593,76.0217391304348,40.5350593309075,38.7987136585425,108,92,2.35573647951305,0.0184860264761434
"number_of_r_bursts",318.527777777778,168.478260869565,246.984636032562,126.542481097128,108,92,5.52010062334643,3.38805594288815e-08
"length_of_p_bursts",1130.41666666667,732.217391304348,446.582602692982,288.434837560227,108,92,7.59209300825631,3.14778932677387e-14
"length_of_r_bursts",1164.61111111111,556.010869565217,683.011813273864,417.564195092696,108,92,7.72007930599708,1.16257347895922e-14
"proportion_of_p_bursts",7.42392604617401,5.82626467840837,2.97366701997404,3.1653178838551,108,92,3.65777116175994,0.00025441803912686
"proportion_of_r_bursts",8.0886802684084,4.57476750129339,5.37836717329037,3.56057998974296,108,92,5.51720690332921,3.44429845229511e-08
"standard_deviation_per_interval",44.1000842377854,38.8751245583549,19.6134060303957,23.9011740847416,108,92,1.67149987395305,0.0946229835831289
