"","mean_x","mean_y","sd_x","sd_y","n_x","n_y","z","p_value"
"characters_per_minute_process",1022.45469614055,685.379403406225,331.172629524203,284.334696170661,108,92,7.74471359524042,9.57975311752296e-15
"words_per_minute_product",482.962962962963,279.152173913043,171.572546761869,85.9786498904258,108,92,10.8490216796024,2.01571260816287e-27
"number_of_pauses",86.7037037037037,72.5434782608696,39.4687287216353,37.8955803748218,108,92,2.58385347333903,0.0097703293066288
"proportion_of_pause_time",53.6616378338506,58.7991371794396,12.3809903423039,13.9441013479673,108,92,-2.73333194918613,0.00626971087210142
"mean_pause_length",11649.9394399041,15822.7177113294,7125.37186175922,12112.4475080342,108,92,-2.90393808326491,0.00368501028113158
"pause_frequency",3.13617124174315,2.97536768647169,0.889291794073831,1.2536889456524,108,92,1.02929842515369,0.303339463117644
"number_of_deletions",379.425925925926,204.173913043478,292.618733907647,150.443491541366,108,92,5.43735620763654,5.40769599625606e-08
"number_of_insertions",2721.93518518518,1558.71739130435,965.023880128218,556.651198343537,108,92,10.6226923416814,2.33721149168168e-26
"length_of_deletions",473.194444444445,268.45652173913,426.371946314906,376.091274081859,108,92,3.60763371343328,0.000309002301137529
"length_of_insertions",2721.93518518518,1558.71739130435,965.023880128218,556.651198343537,108,92,10.6226923416814,2.33721149168168e-26
"proportion_of_deletions",1.72670451798399,1.12763021157876,0.984595462334326,0.739381241612612,108,92,4.90477855125306,9.35328018597373e-07
"proportion_of_insertions",18.3877615496944,12.5322725039201,7.82222658877236,6.24315500099072,108,92,5.88436002349755,3.99597159240866e-09
"number_of_p_bursts",86.7037037037037,72.5434782608696,39.4687287216353,37.8955803748218,108,92,2.58385347333903,0.0097703293066288
"number_of_r_bursts",367.157407407407,193.489130434783,285.329491845095,146.041729289067,108,92,5.53170249914971,3.17137460302805e-08
"length_of_p_bursts",1234.26851851852,800.304347826087,510.09778440399,332.616128250116,108,92,7.2209167235236,5.16382701502272e-13
"length_of_r_bursts",1402.38888888889,686.79347826087,795.760293984857,493.869416785571,108,92,7.7551352356492,8.82493823133314e-15
"proportion_of_p_bursts",8.08671001582001,6.29221760303646,3.41494913988505,3.36468376099252,108,92,3.73337860537336,0.000188928272733376
"proportion_of_r_bursts",9.75704289354155,5.699767127686,6.34941391528994,4.45840696274494,108,92,5.28505230848591,1.25668843372473e-07
"standard_deviation_per_interval",51.7608846872977,44.5684662170686,25.3326661338287,28.8529331448354,108,92,1.8576382055421,0.0632204092110261
